"sequence","Network_annotation","EggNOG_annotation"
"isogroup14287","isogroup14287|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup1429","isogroup1429|brown kME=0.35|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14299","isogroup14299|darkred kME=0.51|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup143","isogroup143|greenyellow kME=0.41|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Homeobox domain"
"isogroup14308","isogroup14308|black kME=0.53|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup1431","isogroup1431|darkgreen kME=0.53|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup14315","isogroup14315|green kME=0.29|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup14324","isogroup14324|brown kME=0.29|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14330","isogroup14330|black kME=0.42|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14334","isogroup14334|black kME=0.34|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14341","isogroup14341|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14360","isogroup14360|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14367","isogroup14367|lightcyan1 kME=0.44|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"isogroup14381","isogroup14381|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14383","isogroup14383|red kME=0.48|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Solute carrier family 31 (Copper transporters), member 1"
"isogroup14396","isogroup14396|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup144","isogroup144|green kME=0.44|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)"
"isogroup14404","isogroup14404|black kME=0.38|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14417","isogroup14417|green kME=0.61|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup1443","isogroup1443|black kME=0.32|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14434","isogroup14434|skyblue kME=0.57|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup14444","isogroup14444|darkorange kME=0.29|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14445","isogroup14445|black kME=0.56|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14451","isogroup14451|skyblue kME=0.6|Associations:(R2=-0.38) response duration to acoustic stimulus.","Regulating synaptic membrane exocytosis 2"
"isogroup14457","isogroup14457|darkgreen kME=0.58|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup1446","isogroup1446|cyan kME=0.41|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup14461","isogroup14461|skyblue kME=0.71|Associations:(R2=-0.38) response duration to acoustic stimulus.","autocrine motility factor receptor, E3 ubiquitin protein ligase"
"isogroup14467","isogroup14467|darkgrey kME=0.38|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14468","isogroup14468|green kME=0.33|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Acylphosphatase 2, muscle type"
"isogroup14480","isogroup14480|darkgrey kME=0.6|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14486","isogroup14486|darkgreen kME=0.43|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","TAO kinase 3"
"isogroup14493","isogroup14493|black kME=0.38|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14495","isogroup14495|blue kME=0.3|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup1450","isogroup1450|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14500","isogroup14500|brown kME=0.44|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14503","isogroup14503|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup14506","isogroup14506|blue kME=0.38|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14508","isogroup14508|blue kME=0.49|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14511","isogroup14511|darkorange kME=0.53|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14516","isogroup14516|darkorange kME=0.52|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14517","isogroup14517|green kME=0.53|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Coiled-coil-helix-coiled-coil-helix domain containing 10"
"isogroup14519","isogroup14519|blue kME=0.42|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14529","isogroup14529|skyblue kME=0.58|Associations:(R2=-0.38) response duration to acoustic stimulus.","SUN domain containing ossification factor"
"isogroup14545","isogroup14545|darkorange kME=0.62|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14562","isogroup14562|green kME=0.53|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","mitochondrial ribosomal protein S12"
"isogroup14564","isogroup14564|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14569","isogroup14569|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14571","isogroup14571|blue kME=0.69|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","collagen, type XIV, alpha 1"
"isogroup14573","isogroup14573|black kME=0.43|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","cirrhosis, autosomal recessive 1A (cirhin)"
"isogroup14575","isogroup14575|darkorange kME=0.37|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14577","isogroup14577|brown kME=0.29|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14580","isogroup14580|darkred kME=0.28|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14581","isogroup14581|greenyellow kME=0.46|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Transgelin"
"isogroup14594","isogroup14594|blue kME=0.36|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14595","isogroup14595|blue kME=0.7|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","histidine rich calcium binding protein"
"isogroup14609","isogroup14609|brown kME=0.82|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","WD repeat domain 45"
"isogroup14610","isogroup14610|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14613","isogroup14613|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","B-cell CLL lymphoma 7B"
"isogroup14617","isogroup14617|brown kME=0.44|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14621","isogroup14621|blue kME=0.33|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","Major Facilitator Superfamily"
"isogroup14637","isogroup14637|darkorange kME=0.68|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Cell cycle associated protein 1"
"isogroup14638","isogroup14638|brown kME=0.45|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Bardet-Biedl syndrome 1"
"isogroup14652","isogroup14652|brown4 kME=0.53|Associations:(R2=+0.3) response duration to acoustic stimulus; (R2=+0.31) mean speed in response to visual stimulus; (R2=+0.31) mean mobility in response to visual stimulus; (R2=-0.49) distance between visual stimulus and larva at response initiation; (R2=-0.36) mean angular speed in response to visual stimulus.","peroxisome proliferator-activated receptor gamma, coactivator-related 1"
"isogroup14653","isogroup14653|blue kME=0.32|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14656","isogroup14656|red kME=0.59|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","glutathione peroxidase 4"
"isogroup14670","isogroup14670|brown kME=0.33|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14675","isogroup14675|darkgreen kME=0.45|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","RIO kinase 2 (yeast)"
"isogroup14677","isogroup14677|darkred kME=0.4|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14679","isogroup14679|blue kME=0.34|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14680","isogroup14680|brown kME=0.38|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14682","isogroup14682|blue kME=0.51|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","Eukaryotic-type carbonic anhydrase"
"isogroup14683","isogroup14683|green kME=0.33|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","chymotrypsin-like"
"isogroup14684","isogroup14684|darkred kME=0.4|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","spectrin, alpha, non-erythrocytic 1"
"isogroup14686","isogroup14686|darkred kME=0.43|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","neuronal differentiation 2"
"isogroup14689","isogroup14689|darkgrey kME=0.47|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14691","isogroup14691|blue kME=0.81|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14692","isogroup14692|darkgreen kME=0.4|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","BTB POZ domain-containing protein kctd15-like"
"isogroup14698","isogroup14698|cyan kME=0.57|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.","CCAAT enhancer binding protein (C EBP), delta"
"isogroup147","isogroup147|brown kME=0.65|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14707","isogroup14707|black kME=0.51|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14708","isogroup14708|brown kME=0.32|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity (By similarity)"
"isogroup1471","isogroup1471|darkred kME=0.74|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14710","isogroup14710|darkorange kME=0.6|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","creatine kinase, mitochondrial 1A"
"isogroup14712","isogroup14712|darkgreen kME=0.57|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","golgin A5"
"isogroup14713","isogroup14713|greenyellow kME=0.43|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup14716","isogroup14716|black kME=0.3|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","Homeobox domain"
"isogroup14718","isogroup14718|saddlebrown kME=0.72|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.",NA
"isogroup14729","isogroup14729|green kME=0.35|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup14735","isogroup14735|greenyellow kME=0.5|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup14736","isogroup14736|red kME=0.41|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","dehydrogenase reductase (SDR family) member 9"
"isogroup14740","isogroup14740|blue kME=0.58|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","S100 calcium binding protein A1"
"isogroup14748","isogroup14748|blue kME=0.35|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14749","isogroup14749|red kME=0.37|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup14750","isogroup14750|greenyellow kME=0.74|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup14754","isogroup14754|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14755","isogroup14755|black kME=0.45|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","WD repeat domain 77"
"isogroup14756","isogroup14756|darkorange kME=0.4|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup14757","isogroup14757|red kME=0.45|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Histamine N-methyltransferase"
"isogroup14761","isogroup14761|darkorange kME=0.59|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",""
"isogroup14762","isogroup14762|skyblue kME=0.39|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup14763","isogroup14763|greenyellow kME=0.4|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","SPRY domain"
"isogroup14764","isogroup14764|darkgrey kME=0.47|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14765","isogroup14765|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14767","isogroup14767|blue kME=0.3|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","Protein of unknown function (DUF2763)"
"isogroup14773","isogroup14773|lightcyan1 kME=0.6|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","peroxiredoxin 2"
"isogroup14779","isogroup14779|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14783","isogroup14783|saddlebrown kME=0.69|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","neurofilament, heavy polypeptide"
"isogroup14787","isogroup14787|brown kME=0.32|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14789","isogroup14789|greenyellow kME=0.35|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","adenine nucleotide translocator"
"isogroup148","isogroup148|green kME=0.49|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup14814","isogroup14814|saddlebrown kME=0.5|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.",NA
"isogroup14818","isogroup14818|brown kME=0.36|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Eukaryotic translation initiation factor 4E binding protein 2"
"isogroup14823","isogroup14823|blue kME=0.34|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14824","isogroup14824|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","keratin 23 (histone deacetylase inducible)"
"isogroup14831","isogroup14831|red kME=0.38|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Cathepsin propeptide inhibitor domain (I29)"
"isogroup14836","isogroup14836|brown kME=0.53|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14840","isogroup14840|red kME=0.41|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup14842","isogroup14842|darkgreen kME=0.59|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"isogroup14843","isogroup14843|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14849","isogroup14849|green kME=0.6|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup14853","isogroup14853|red kME=0.44|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Lectin C-type domain"
"isogroup14855","isogroup14855|lightcyan1 kME=0.43|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","casein kinase"
"isogroup14857","isogroup14857|darkred kME=0.46|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Zic family member 4"
"isogroup1486","isogroup1486|black kME=0.32|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14872","isogroup14872|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14879","isogroup14879|blue kME=0.37|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14881","isogroup14881|black kME=0.32|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup14884","isogroup14884|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Otx1 transcription factor"
"isogroup14886","isogroup14886|green kME=0.5|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","myeloma overexpressed 2"
"isogroup14891","isogroup14891|darkred kME=0.44|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14897","isogroup14897|greenyellow kME=0.45|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","nucleobindin 1"
"isogroup14907","isogroup14907|darkred kME=0.44|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14908","isogroup14908|brown kME=0.53|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","ubiquitin specific peptidase 14 (tRNA-guanine transglycosylase)"
"isogroup14909","isogroup14909|blue kME=0.58|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14911","isogroup14911|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup14916","isogroup14916|green kME=0.36|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup14917","isogroup14917|blue kME=0.43|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","seryl-tRNA synthetase"
"isogroup14927","isogroup14927|green kME=0.63|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome (By similarity)"
"isogroup14928","isogroup14928|blue kME=0.27|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14929","isogroup14929|blue kME=0.35|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup14935","isogroup14935|brown kME=0.41|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup14937","isogroup14937|greenyellow kME=0.38|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"isogroup14938","isogroup14938|brown kME=0.53|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","PMP-22/EMP/MP20/Claudin family"
"isogroup14939","isogroup14939|red kME=0.4|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup14940","isogroup14940|red kME=0.29|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
