"","sequence","NI_annotation","EggNOG_annotation"
"1","isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"1571","isogroup18469","isogroup18469|darkred kME=0.49|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","potassium voltage-gated channel, shaker-related subfamily, member 3"
"1572","isogroup18470","isogroup18470|green kME=0.39|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","matrilin 1, cartilage matrix protein"
"1573","isogroup18472","isogroup18472|darkgreen kME=0.42|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","fragile X mental retardation, autosomal homolog 1"
"1574","isogroup18473","isogroup18473|brown kME=0.49|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Myelin basic protein"
"1575","isogroup18474","isogroup18474|red kME=0.46|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","GATA binding protein 6"
"1576","isogroup18476","isogroup18476|darkred kME=0.26|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1577","isogroup18480","isogroup18480|red kME=0.58|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"1578","isogroup18485","isogroup18485|greenyellow kME=0.36|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Calx-beta domain"
"1579","isogroup185","isogroup185|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1580","isogroup18502","isogroup18502|midnightblue kME=0.47|Associations:(R2=+0.42) mean meandering in response to visual stimulus.","Ependymin"
"1581","isogroup18504","isogroup18504|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","heat shock 10kDa protein 1 (chaperonin 10)"
"1582","isogroup18506","isogroup18506|red kME=0.31|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"1583","isogroup18509","isogroup18509|lightcyan1 kME=0.56|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.","solute carrier family 7 (glycoprotein-associated amino acid transporter light chain, bo, system), member 9"
"1584","isogroup18513","isogroup18513|blue kME=0.51|Associations:(R2=+0.49) response latency.","nucleolin"
"1585","isogroup18514","isogroup18514|greenyellow kME=0.45|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"1586","isogroup18515","isogroup18515|red kME=0.41|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"1587","isogroup18517","isogroup18517|red kME=0.39|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"1588","isogroup18519","isogroup18519|darkred kME=0.38|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1589","isogroup18525","isogroup18525|darkorange kME=0.68|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1590","isogroup18528","isogroup18528|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1591","isogroup18532","isogroup18532|greenyellow kME=0.53|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","Sec61 alpha 1 subunit (S. cerevisiae)"
"1592","isogroup18537","isogroup18537|green kME=0.36|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Sestrin 2"
"1593","isogroup18540","isogroup18540|darkorange kME=0.31|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","ORM1-like 1 (S. cerevisiae)"
"1594","isogroup18543","isogroup18543|darkgreen kME=0.49|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.",NA
"1595","isogroup18544","isogroup18544|skyblue kME=0.36|Associations:(R2=-0.38) response duration to acoustic stimulus.","glycoprotein M6A"
"1596","isogroup18546","isogroup18546|darkred kME=0.45|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","Myelin transcription factor"
"1597","isogroup18548","isogroup18548|black kME=0.5|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"1598","isogroup18553","isogroup18553|brown kME=0.31|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","UBX domain protein 7"
"1599","isogroup18561","isogroup18561|midnightblue kME=0.53|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"1600","isogroup18565","isogroup18565|brown kME=0.59|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Tetraspanin family"
"1601","isogroup18570","isogroup18570|darkorange kME=0.34|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1602","isogroup18572","isogroup18572|darkred kME=0.36|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1603","isogroup18579","isogroup18579|blue kME=0.57|Associations:(R2=+0.49) response latency.","FK506 binding protein 11, 19 kDa"
"1604","isogroup1858","isogroup1858|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1605","isogroup18586","isogroup18586|darkorange kME=0.35|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1606","isogroup18593","isogroup18593|cyan kME=0.41|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"1607","isogroup18600","isogroup18600|darkorange kME=0.51|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","cytochrome c oxidase assembly factor 4 homolog (S. cerevisiae)"
"1608","isogroup18601","isogroup18601|brown4 kME=0.55|Associations:(R2=+0.3) response duration to acoustic stimulus; (R2=+0.31) mean speed in response to visual stimulus; (R2=+0.31) mean mobility in response to visual stimulus; (R2=-0.49) distance between visual stimulus and larva at response initiation; (R2=-0.36) mean angular speed in response to visual stimulus.","SCO2 cytochrome c oxidase assembly protein"
"1609","isogroup18602","isogroup18602|green kME=0.58|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Removes the N-terminal methionine from nascent proteins (By similarity)"
"1610","isogroup18604","isogroup18604|darkred kME=0.41|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","sparc osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
"1611","isogroup18614","isogroup18614|black kME=0.47|Associations:(R2=+0.29) mean speed in response to visual stimulus.",NA
"1612","isogroup18615","isogroup18615|darkgreen kME=0.44|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","synuclein, beta"
"1613","isogroup18618","isogroup18618|brown kME=0.5|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","aldehyde dehydrogenase 1 family, member L1"
"1614","isogroup18621","isogroup18621|skyblue kME=0.4|Associations:(R2=-0.38) response duration to acoustic stimulus.","NudC domain containing 3"
"1615","isogroup18622","isogroup18622|lightcyan1 kME=0.5|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"1616","isogroup18624","isogroup18624|skyblue kME=0.62|Associations:(R2=-0.38) response duration to acoustic stimulus.","poly (ADP-ribose) polymerase family, member 6"
"1617","isogroup18626","isogroup18626|darkgreen kME=0.55|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","family with sequence similarity 50, member"
"1618","isogroup18630","isogroup18630|blue kME=0.62|Associations:(R2=+0.49) response latency.",NA
"1619","isogroup18631","isogroup18631|blue kME=0.28|Associations:(R2=+0.49) response latency.","mesoderm specific transcript homolog (mouse)"
"1620","isogroup18632","isogroup18632|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","zinc finger, CCHC domain containing 11"
"1621","isogroup18635","isogroup18635|skyblue kME=0.43|Associations:(R2=-0.38) response duration to acoustic stimulus.","ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B)"
"1622","isogroup18639","isogroup18639|brown kME=0.38|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"1623","isogroup18644","isogroup18644|darkred kME=0.32|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","stathmin-like 3"
"1624","isogroup18645","isogroup18645|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1625","isogroup18647","isogroup18647|darkgreen kME=0.72|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Guanine nucleotide binding protein-like 2 (Nucleolar)"
"1626","isogroup18648","isogroup18648|blue kME=0.32|Associations:(R2=+0.49) response latency.","tumor protein p53 binding protein, 2"
"1627","isogroup18649","isogroup18649|brown kME=0.75|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","palmdelphin"
"1628","isogroup18652","isogroup18652|brown kME=0.52|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"1629","isogroup18664","isogroup18664|green kME=0.51|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Troponin"
"1630","isogroup18665","isogroup18665|cyan kME=0.49|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"1631","isogroup18666","isogroup18666|darkorange kME=0.57|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","calpain 5"
"1632","isogroup18667","isogroup18667|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1633","isogroup18680","isogroup18680|green kME=0.55|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"1634","isogroup18682","isogroup18682|blue kME=0.31|Associations:(R2=+0.49) response latency.","heat shock 70kDa protein 14"
"1635","isogroup18683","isogroup18683|darkgrey kME=0.57|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"1636","isogroup18684","isogroup18684|brown kME=0.47|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","ankyrin 2, neuronal"
"1637","isogroup18687","isogroup18687|darkorange kME=0.39|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","fatty acid binding protein 7, brain"
"1638","isogroup18690","isogroup18690|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",NA
"1639","isogroup18691","isogroup18691|blue kME=0.28|Associations:(R2=+0.49) response latency.","chaperonin containing TCP1, subunit 3 (gamma)"
"1640","isogroup18694","isogroup18694|brown kME=0.81|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"1641","isogroup18696","isogroup18696|skyblue kME=0.3|Associations:(R2=-0.38) response duration to acoustic stimulus.","replication factor C (activator 1) 2"
"1642","isogroup18697","isogroup18697|red kME=0.33|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","cellular repressor of E1A-stimulated genes 1"
"1643","isogroup18699","isogroup18699|blue kME=0.37|Associations:(R2=+0.49) response latency.",NA
"1644","isogroup18702","isogroup18702|darkgreen kME=0.66|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","zinc finger, matrin-type 2"
"1645","isogroup18703","isogroup18703|darkgreen kME=0.41|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","von Willebrand factor type A domain"
"1646","isogroup18705","isogroup18705|green kME=0.7|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ribosomal protein S2"
"1647","isogroup18709","isogroup18709|red kME=0.44|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","chymotrypsin-like elastase family, member 1"
"1648","isogroup18710","isogroup18710|darkgrey kME=0.42|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"1649","isogroup18714","isogroup18714|blue kME=0.74|Associations:(R2=+0.49) response latency.","secreted protein, acidic, cysteine-rich (osteonectin)"
"1650","isogroup18716","isogroup18716|green kME=0.34|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"1651","isogroup18717","isogroup18717|green kME=0.49|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"1652","isogroup18720","isogroup18720|green kME=0.67|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Required for the assembly and or stability of the 40S ribosomal subunit. Required for the processing of the 20S rRNA- precursor to mature 18S rRNA in a late step of the maturation of 40S ribosomal subunits. Also functions as a cell surface receptor for laminin. Plays a role in cell adhesion to the basement membrane and in the consequent activation of signaling transduction pathways. May play a role in cell fate determination and tissue morphogenesis (By similarity)"
"1653","isogroup18722","isogroup18722|darkred kME=0.5|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1654","isogroup18723","isogroup18723|greenyellow kME=0.52|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","protein phosphatase 1, catalytic subunit, beta isozyme"
"1655","isogroup18724","isogroup18724|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","Pfam:efhand"
"1656","isogroup18727","isogroup18727|darkorange kME=0.42|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","midkine (neurite growth-promoting factor 2)"
"1657","isogroup18728","isogroup18728|greenyellow kME=0.57|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","alcohol dehydrogenase"
"1658","isogroup1873","isogroup1873|darkred kME=0.39|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1659","isogroup18740","isogroup18740|darkorange kME=0.46|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1660","isogroup18742","isogroup18742|blue kME=0.55|Associations:(R2=+0.49) response latency.","Coiled-coil domain containing 93"
"1661","isogroup18745","isogroup18745|darkorange kME=0.4|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1662","isogroup18746","isogroup18746|darkorange kME=0.48|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1663","isogroup18747","isogroup18747|darkgreen kME=0.39|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","TIMP metallopeptidase inhibitor 2"
"1664","isogroup1875","isogroup1875|midnightblue kME=0.38|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"1665","isogroup18752","isogroup18752|midnightblue kME=0.37|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"1666","isogroup18754","isogroup18754|brown kME=0.76|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Selenoprotein P, plasma"
"1667","isogroup18756","isogroup18756|skyblue kME=0.31|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"1668","isogroup18757","isogroup18757|midnightblue kME=0.41|Associations:(R2=+0.42) mean meandering in response to visual stimulus.",NA
"1669","isogroup18758","isogroup18758|darkred kME=0.46|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor"
"1670","isogroup18761","isogroup18761|blue kME=0.34|Associations:(R2=+0.49) response latency.","collagen, type VI, alpha 2"
"1671","isogroup18762","isogroup18762|skyblue kME=0.51|Associations:(R2=-0.38) response duration to acoustic stimulus.","secretogranin V (7B2 protein)"
"1672","isogroup18775","isogroup18775|red kME=0.53|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)"
"1673","isogroup18776","isogroup18776|green kME=0.46|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","cytochrome c oxidase subunit VIc"
"1674","isogroup18785","isogroup18785|red kME=0.36|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","transmembrane channel-like 4"
"1675","isogroup18790","isogroup18790|red kME=0.51|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"1676","isogroup18798","isogroup18798|brown kME=0.45|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","syntaxin 18"
"1677","isogroup1880","isogroup1880|blue kME=0.45|Associations:(R2=+0.49) response latency.",NA
"1678","isogroup18804","isogroup18804|plum1 kME=0.41|Associations:(R2=-0.28) time to max speed in response to acoustic stimulus.","homeobox A10"
"1679","isogroup18813","isogroup18813|blue kME=0.48|Associations:(R2=+0.49) response latency.",NA
"1680","isogroup18816","isogroup18816|darkred kME=0.35|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1681","isogroup18818","isogroup18818|red kME=0.46|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","phospholipase A2, group IB (pancreas)"
"1682","isogroup18819","isogroup18819|brown kME=0.3|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","spastic paraplegia 20 (Troyer syndrome)"
"1683","isogroup18826","isogroup18826|skyblue kME=0.39|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"1684","isogroup18828","isogroup18828|lightcyan1 kME=0.48|Associations:(R2=+0.28) response latency; (R2=+0.35) mean meandering in response to visual stimulus.",NA
"1685","isogroup18830","isogroup18830|red kME=0.38|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","Zinc finger, C4 type (two domains)"
"1686","isogroup18831","isogroup18831|green kME=0.32|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha"
"1687","isogroup18835","isogroup18835|blue kME=0.48|Associations:(R2=+0.49) response latency.","signal sequence receptor, beta (translocon-associated protein beta)"
"1688","isogroup18837","isogroup18837|darkred kME=0.33|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1689","isogroup18839","isogroup18839|darkred kME=0.55|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1690","isogroup18844","isogroup18844|skyblue kME=0.47|Associations:(R2=-0.38) response duration to acoustic stimulus.","ring finger protein 115"
"1691","isogroup18845","isogroup18845|brown kME=0.53|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Proteasome (Prosome, macropain) 26S subunit, non-ATPase, 12"
"1692","isogroup18855","isogroup18855|red kME=0.35|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","mitochondrial pyruvate carrier 1"
"1693","isogroup1886","isogroup1886|brown kME=0.3|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","charged multivesicular body protein 5"
"1694","isogroup18862","isogroup18862|black kME=0.43|Associations:(R2=+0.29) mean speed in response to visual stimulus.","coiled-coil-helix-coiled-coil-helix domain containing 3"
"1695","isogroup18864","isogroup18864|skyblue kME=0.39|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"1696","isogroup18868","isogroup18868|blue kME=0.35|Associations:(R2=+0.49) response latency.",NA
"1697","isogroup18869","isogroup18869|floralwhite kME=0.6|Associations:(R2=-0.35) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A"
"1698","isogroup18883","isogroup18883|skyblue kME=0.51|Associations:(R2=-0.38) response duration to acoustic stimulus.","Nuclear receptor subfamily 2, group F, member"
"1699","isogroup18889","isogroup18889|greenyellow kME=0.31|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","endonuclease domain-containing 1 protein-like"
"1700","isogroup18893","isogroup18893|saddlebrown kME=0.7|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.",NA
"1701","isogroup18895","isogroup18895|brown kME=0.43|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","COP9 constitutive photomorphogenic homolog subunit 2 (Arabidopsis)"
"1702","isogroup18897","isogroup18897|blue kME=0.6|Associations:(R2=+0.49) response latency.","Arginyl-tRNA synthetase"
"1703","isogroup18898","isogroup18898|black kME=0.7|Associations:(R2=+0.29) mean speed in response to visual stimulus.","transmembrane emp24-like trafficking protein 10 (yeast)"
"1704","isogroup18899","isogroup18899|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1705","isogroup1890","isogroup1890|brown kME=0.36|Associations:(R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"1706","isogroup18904","isogroup18904|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"1707","isogroup18905","isogroup18905|darkred kME=0.31|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1708","isogroup18908","isogroup18908|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1709","isogroup18911","isogroup18911|blue kME=0.29|Associations:(R2=+0.49) response latency.","Sorting nexin 12"
"1710","isogroup18916","isogroup18916|skyblue kME=0.39|Associations:(R2=-0.38) response duration to acoustic stimulus.","amphiphysin"
"1711","isogroup18918","isogroup18918|black kME=0.53|Associations:(R2=+0.29) mean speed in response to visual stimulus.","ArfGAP with SH3 domain, ankyrin repeat and PH domain"
"1712","isogroup18920","isogroup18920|darkred kME=0.3|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"1713","isogroup18929","isogroup18929|orangered4 kME=0.52|Associations:(R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.",NA
